e,n,d
90.29559414394835,90.29562365209252,2346
90.51417723413753,90.51420681371356,2347
90.7330432668476,90.73307291794794,2348
90.95219233804981,90.95222206076694,2349
91.17162454388297,91.17165433830944,2350
91.39133998065309,91.39136984688145,2351
91.6113387448353,91.61136868295814,2352
91.83162093307229,91.83165094318225,2353
92.05218664217588,92.0522167243656,2354
92.27303596912542,92.27306612348758,2355
92.49416901107098,92.4941992376983,2356
92.71558586533018,92.71561616431542,2357
92.93728662939239,92.93731700082832,2358
93.15927140091475,93.15930184489417,2359
93.38154027772423,93.38157079434,2360
93.60409335782016,93.60412394716516,2361
93.82693073937004,93.82696140153716,2362
94.05005252071273,94.05008325579492,2363
94.27345880035914,94.27348960844938,2364
94.4971496769906,94.4971805581819,2365
94.72112524945953,94.72115620384491,2366
94.94538561679036,94.9454166444629,2367
95.16993087817892,95.1699619792317,2368
95.39476113299465,95.39479230752083,2369
95.61987648077873,95.61990772887148,2370
95.84527702124342,95.84530834299592,2371
96.07096285427617,96.07099424978166,2372
96.29693407993719,96.29696554928893,2373
96.5231907984583,96.5232223417496,2374
96.74973311024698,96.74976472757116,2375
96.97656111588495,96.97659280733538,2376
97.20367491612562,97.2037066817957,2377
97.43107461189835,97.43110645188149,2378
97.658760304308,97.65879221869768,2379
97.88673209463282,97.88676408352252,2380
98.11499008432752,98.11502214781078,2381
98.3435343750205,98.34356651319088,2382
98.57236506851828,98.57239728146938,2383
98.80148226680136,98.8015145546268,2384
99.03088607202676,99.03091843482021,2385
99.26057658652867,99.26060902438383,2386
99.49055391281816,99.49058642582872,2387
99.7208181535815,99.72085074184128,2388
99.95136941168413,99.95140207528688,2389
100.18220779016829,100.18224052920786,2390
100.41333339225375,100.41336620682401,2391
100.64474632133809,100.64477921153292,2392
100.87644668099864,100.87647964691197,2393
101.10843457498862,101.10846761671444,2394
101.34071010724293,101.34074322487521,2395
101.57327338187332,101.5733065755061,2396
101.80612450317193,101.80615777289928,2397
102.03926357561035,102.03929692152637,2398
102.27269070384054,102.27272412603936,2399
102.50640599269259,102.50643949126841,2400
102.74040954717928,102.74044312222627,2401
102.97470147249277,102.97473512410518,2402
103.20928187400659,103.20931560227869,2403
103.44415085727566,103.44418466230175,2404
103.67930852803588,103.6793424099103,2405
103.91475499220518,103.91478895102232,2406
104.1504903558822,104.15052439173648,2407
104.38651472534953,104.38654883833537,2408
104.62282820707269,104.62286239728459,2409
104.85943090769825,104.85946517523072,2410
105.0963229340564,105.09635727900398,2411
105.33350439316189,105.33353881561918,2412
105.57097539221114,105.57100989227274,2413
105.80873603858483,105.80877061634541,2414
106.04678643985079,106.04682109540505,2415
106.28512670375724,106.28516143719989,2416
106.52375693823922,106.52379174966504,2417
106.76267725141668,106.76271214092043,2418
107.00188775159441,107.00192271927095,2419
107.2413885472625,107.24142359320669,2420
107.48117974709778,107.48121487140453,2421
107.72126145996333,107.72129666272758,2422
107.96163379490773,107.96166907622444,2423
108.20229686116573,108.20233222112991,2424
108.44325076816087,108.44328620686755,2425
108.68449562550249,108.6845311430468,2426
108.92603154298844,108.92606713946546,2427
109.16785863060366,109.16789430610855,2428
109.40997699852122,109.41001275314916,2429
109.65238675710356,109.6524225909498,2430
109.89508801690029,109.89512393006008,2431
110.13808088865107,110.13811688121969,2432
110.3813654832846,110.3814015553574,2433
